part_id,show,part_number,part_brand,subcategory,part_image,watts_power,voltage,shape,min_dimension,max_dimension,probe_length,probe_diameter,lead_length,ingress_protection,certifications,nema_rating
0B299E97-9901-40EB-9D4C-23237CC9A5B2,,76518732,SEA BREEZE,,,,,,,,,,,,,
0B52696B-BD43-45FC-9055-BDA82482C672,,HT33BK508,CARRIER,,,,,,,,,,,,,
0B62698A-AA00-46AE-8C20-09FD930736E2,,HTR00175,TRANE,,,,,,,,,,,,,
0B683548-90A7-4194-A505-40A738F2D4CA,,HT32BH943,CARRIER,,,,,,,,,,,,,
0B6890C5-10B3-4216-B513-24847251E5EF,,HTR00085,TRANE,,,,,,,,,,,,,
0BD5F98B-08B7-41CB-A52B-70161CF17A23,,48G41,LENNOX,,,,,,,,,,,,,
0BD67EFA-040E-447C-94AA-528AEA669681,,HT32CH755,CARRIER,,,,,,,,,,,,,
0BE52F17-DA38-4186-9253-12306CB1DB59,,S1-02537420240,YORK UPG,,,,,,,,,,,,,
0BE8F686-C346-43B5-8F52-0E93DA1D6CBD,,55-40294-08,RHEEM,,,,,,,,,,,,,
0C1D0D9C-6248-4ED7-9DA8-A0E42705FF13,,44-101884-07,RUUD,,,,,,,,,,,,,
0C20AD76-15A2-42AA-9779-22F22B46C7B5,,B735240,LENNOX,,,,,,,,,,,,,
0C75C4E2-72C2-4625-AA1B-E8E83CA7F641,,85105290636H1,SANYO,,,,,,,,,,,,,
0C771AD7-4EF4-4E66-B271-0E46D1C6BE50,,708849,HEIL,,,,,,,,,,,,,
0CD47BCD-CF00-4E9D-B051-08DF177C5D8B,,CTR01614,TRANE,,,,,,,,,,,,,
0CE372E6-EE54-4375-984F-F6779A6B73C1,,632347,GIBSON,,,,,,,,,,,,,
0CECD9F7-FC28-407F-9DBB-406CCAC8838B,,CPCRKHTR001A0,CARRIER,,,,,,,,,,,,,
0D422E34-1FBE-450A-93A3-E6AC29D93CED,,45262,,,,,,,,,,,,,,
0D95C140-8C4D-48BA-9D89-CDAF4FF09811,,441740208,HEIL,,,,,,,,,,,,,
0DAB81D3-1B79-44A5-8131-C8FBA84924B8,,HTR03000,AMERICAN STANDARD,,,,,,,,,,,,,
0DBAF61E-EF94-4F93-837F-A62A1C276F0A,,91003-1,TECUMSEH,,,,,,,,,,,,,
0DF18B36-3C43-44C6-BA27-41B9B22050CE,,70044,MARVAIR,,,,,,,,,,,,,
0E187342-262B-4FCF-BD3A-8C9AB9E26C05,,44-17402-44,RUUD,,,,,,,,,,,,,
0E573E6F-2DA0-40A9-82BF-29C80C75C95A,,HTR01199,TRANE,,,,,,,,,,,,,
0E743281-5014-49FE-AC8A-4F311D3F6433,,HTR00128,TRANE,,,,,,,,,,,,,
0E75AD6B-613B-4F36-AB0C-A38D96C6CCB0,,102125301,KOLD-DRAFT,,,,,,,,,,,,,
0E87DE1A-734F-4BF4-8B0F-2C38ED27C58E,,HTR02200,TRANE,,,,,,,,,,,,,
