part_id,show,part_number,part_brand,subcategory,part_image,microfarads,voltage,shape,tolerance,operating_temperature,depth,height,width,ingress_protection,certifications,nema_rating,part_number_correction,notes
016981D9-19A3-4474-A031-4491E020BA76,1,P291-5054,CARRIER,DUAL CAPACITOR,,50/5,440,Oval,,,,4.9,1.9,,,,,
016E878B-C638-45BA-9AEF-21902949B27E,1,1172166,HEIL,DUAL CAPACITOR,,55/5,370/440,Round,,,,,,,,,,
017BF7B8-D3B0-4A61-A25C-977F0EA237ED,1,P291-3073RS,CARRIER,DUAL CAPACITOR,,35/10,370,Round,,,,4.4,2,,,,,
017EFE7D-FAF6-46EA-839B-3E04D4DC8444,1,5304421859,WESTINGHOUSE,DUAL CAPACITOR,,40/10,250,,,,,,,,,,,
018E3697-A4DD-4592-9B69-785E896A199E,1,3001903,FRIGIDAIRE,,,,,,,,,,,,,,,
018FBF3F-B9C1-4D20-AA55-7C5C2045A5E8,1,202401010006,MIDEA,,,,,,,,,,,,,,,
0196D884-D82E-40B7-99AA-9954096423CD,1,CAP050450440CTE,DAIKIN,DUAL CAPACITOR,,45/5,440,Round,+/- 5%,,,3.1,3.1,,,,,
01B0C78E-B23E-4F93-BCED-2AAC08260D6F,1,A327236,WESTINGHOUSE,,,,,,,,,,,,,,,
01B8245E-51C2-47EE-9B1E-376DCBF025E4,1,CPT00392,TRANE,RUN CAPACITOR,,60,440,Round,,,5.7,,3.3,,,,,
01B9424A-1387-4033-A3D4-48B8EF18736D,1,5303211040,GIBSON,,,,,,,,,,,,,,,
01C0DC50-C04C-427F-B051-DCC44081133B,1,BT9457009,GOODMAN,DUAL CAPACITOR,,,,,,,,,,,,,,
01C38980-EB60-4A8D-9370-126BDE710C2B,1,1605-00720-123,AIRTEMP,,,,,,,,,,,,,,,
01C78130-F8F0-4E2A-88C1-7EF73B08ED73,1,1670117,ICP,,,,,,,,,,,,,,,
01C80939-DEA6-4959-96E1-F5BA0455116F,1,WJ20X10049,GE,,,,,,,,,,,,,,,
01CE9B1E-2000-4958-B17E-C0480D65D07B,1,WP20X48,GE,,,,,,,,,,,,,,,
01D7AAC2-3DD0-4F47-8E96-DD1EA519C687,1,300182,GOETTL,,,,,,,,,,,,,,,
01E57497-370F-4DCC-88B0-9D94DCE69764,1,43-100496-44,RHEEM,,,,,,,,,,,,,,,
01EFCE49-40B5-45FE-A402-3215A64825CB,1,WJ20X600,GE,,,,,,,,,,,,,,,
01F73C3F-579B-4D83-B3EC-DFF0DA391337,1,S1-02425049700,YORK UPG,RUN CAPACITOR,,,,,,,,,,,,,,
01XLQJDG8Y14GW7NPHZOCUUKZ2GML9EKWHZD,1,CD70+10X370R,SUPCO,DUAL CAPACITOR,,70+10,370VAC,Round,+ / - 5%,\-40°F to 185°F (-40°C to 85°C),,5.125\",2.1875\",,UL,VDE,,,
0207DE6D-60E3-4D48-94AE-B362F2566112,1,D6789025,AMANA,RUN CAPACITOR,,,,,,,,,,,,,,
0209ECF0-3381-4329-A56F-E8EAB9AEBD47,1,5303316595,FRIGIDAIRE,,,,,,,,,,,,,,,
020A2C5A-5416-43E8-8077-41831ED3E88C,1,CPT00147,TRANE,,,,,,,,,,,,,,,
020E34A1-9460-47DD-B8EC-C5AE0C3D8344,1,100463-07,LENNOX,,,20,440,Round,,,,,,,,,,
0215AE4C-CF22-4FEA-A7FD-ADF2DA30E36E,1,CPT00456,TRANE,RUN CAPACITOR,,30,440,Round,,,4.5,1.9,1.9,,,,,
02175557-6425-453C-80EA-2B3648993527,1,43-23204-26,RHEEM,DUAL CAPACITOR,,,,,,,,,,,,,,
021BBA89-8A1E-438B-B38D-6E0B1D15CB8C,1,P291-3573RS,DAY & NIGHT,DUAL CAPACITOR,,,,,,,,,,,,,,
0221203D-F21A-462D-8D4F-768C9FC93725,1,33010034,GREE,,,,,,,,,,,,,,,
022E33BB-CD47-4AA5-93EB-D762D1D12739,1,6120AR2194D,HEAT CONTROLLER,,,,,,,,,,,,,,,
0235234A-ABF0-4D80-B41F-8B58DA023280,1,C5822017,AMANA,RUN CAPACITOR,,,,,,,,,,,,,,
023565AA-C574-430E-9EA6-0733E1C42617,1,70543DP43,CARRIER,RUN CAPACITOR,,,,,,,,,,,,,,
0238FW4OEKUO9TR4CT8F2ERQUSJ898DLVRTH,1,5303012043,FRIGIDAIRE,,,,,,,,,,,,,,,
023C898D-59B3-48CA-902C-EA8A39BFB1C7,1,43-22362-02,RHEEM,DUAL CAPACITOR,,25/3,370,Oval,-0.06,-40 to 70C,,,,,,,,
