part_id,show,part_number,part_brand,subcategory,part_image,rated_refrigerant,oil_type,nominal_capacity_tons,nominal_capacity_BTUH,voltage,ph,hz,run_capacitor,start_capacitor,connection_type,suction_inlet_diameter,discharge_diameter,number_of_cylinders,number_of_unloaders,crankcase_heater,protection,speed,EER,displacement,nominal_hp,nominal_power_watts,fla,lra,rpm,compressor_length,compressor_width,compressor_height,ingress_protection,certifications,nema_rating
E683AAA2-2271-498D-8B85-B0572057262E,,SRJ82AE,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E68CA50F-49D0-45E3-BFBB-2553F1B6151D,,COM02586,AMERICAN STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E68D3F4C-164E-4509-8B5A-27701042B829,,S1-01503580004,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E691134D-A6D8-44C9-9D1D-5D964C18A696,,S1-01502747005,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E699C8BC-3F60-4ACF-BF4F-4C430A0131BF,,06DA3186EA1000,CARRIER,SEMI-HERMETIC RECIP COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E69A4025-85DE-4583-83AC-484416EF4C91,,1602-01780-006,AIRTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E69EDA4C-864F-4DEC-9911-F356311F0405,,D4380402,AMANA,HERMETIC RECIP COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E69F1QCYJ0HD3QHO1TAH1TZWDG5P7RJM3I9H,,913775,NORDYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6A0313F-5BBC-4BCA-BCA5-470D21EC256D,,COM03143,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6A19066-4BC8-4B97-8F62-25D9DAEACC62,,36085C,ELKAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6A43840-A64F-47EE-B075-11A3E743D18B,,48TM402822,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6B56695-A9DB-4238-A334-0587989CD383,,100258,BREEZAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6B6111D-4F7A-4D47-A3C4-570DCE53594B,,2DA3-0750-TFE,COPELAND,SEMI-HERMETIC RECIP (DISCUS) COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6B6DA7A-5593-4156-BCF5-D0A7EAFDE978,,48TM401334,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6BDAFA4-1516-4D6A-BC07-6DCE20E1F462,,1065332,BARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6BEBA7B-E13C-4500-9BED-A8A035A76757,,60-1550,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6C227EC-8512-4D24-B636-59A4628528C0,,P-8-10130,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6CFB39A-FD77-41BF-8F24-368918BD3B4C,,55-102045-115,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6D18B99-687C-43A2-B100-D17A81C3C677,,55-22974-67,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6D48D68-0835-4F2D-9079-498FA4E23929,,COM03192,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6E10B5A-EAEC-438E-9E7E-78235552AFFB,,COM01228,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6E1CFA1-EAA4-4F06-8F53-2ABACF167459,,06EA250910,CARRIER,SEMI-HERMETIC RECIP COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6E1F9F0-9A45-411A-ADA1-342A85E2F856,,S1-01504822004,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
