part_id,show,part_image,part_number,part_brand,subcategory,poles,shunts,coil_voltage,operating_voltage,ph,hz,fla,action,lra,connection_type,termination_type,resistive_amps,noninductive_amps,auxialliary_contacts,push_to_test_window,contactor_type,height,width,length,coil_type,nema_size,max_hp,fuse_clip_size,enclosure_type,temperature_rating,current_setting_range,reset_type,accessories,overload_relays,overload_time,ingress_protection,certifications,nema_rating,rla,application,switch_current
02BC038D-4804-4C0B-8DC4-19F0BE9002DD,1,CTR00430,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02BDE6A5-FCE8-4A21-9944-21311480FD9E,1,S1-02424048000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02BF4E9C-12A9-490D-87F3-2A39DE084A38,1,024-7940PB,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02C02152-B94C-4618-B676-F8E821F77DB9,1,CTR00063,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02D38195-A7A2-4E0D-9F3D-202B50A1CD86,1,CTR01037,AMERICAN STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02E452FF-4CB6-4AF1-9358-7F22ADAE3EE1,1,151275,REZNOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02F21E52-7A61-431C-9E68-71F60EA6FF7B,1,CTR00636,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03310D92-AD34-4972-826B-17C3D74BA267,1,HN69XB633,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033F4C65-F772-4003-81F8-179794760883,1,10162005,AMANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03426591-B3A8-4E52-89B7-C5506B6FD59E,1,PHT04CY0440,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035530AC-B0A3-424D-A6C5-D87933B42AD0,1,42-20044-01,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03567DA3-E261-4784-B1B4-F3715C292D03,1,SRT00061,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0364B1C9-ABAD-4081-AF8F-83843E70D9BF,1,60-3331,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03776F4A-C0B6-439A-BC25-6A45E0E346F8,1,HN53TB026,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0390B931-FDF1-4E11-A51D-5E4922B0E0F7,1,HN51KC051,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03B70084-2A4F-4E1D-8426-FE2E305E6EB3,1,B13603,GOODMAN,CONTACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03C0CE11-5129-4B7D-AE97-82C08BA2B0DD,1,42-102664-14,MCQUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03CAD820-479D-411B-9887-F29EBC388406,1,38AK400508,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03D62D9A-CF33-4430-B58D-FC751C552A68,1,ABB-A9-30-10-51,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03E8127A-3386-4F86-98AC-64EEB5DA8B82,1,CTR00078,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03F00389-0087-4BD2-B20B-80B7C35D988D,1,CONT3P040024V,GOODMAN,CONTACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040326BB-A093-4B67-A83B-19FD96302DCA,1,48ZZWLRAA-AA30,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04061339-8B83-431D-8773-7D37667D9589,1,3TF5022/0XF0,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042C8192-FA20-4C4C-A3C1-F36D3D925764,1,CTR00167,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0432639C-8E49-4E4F-BDED-0223E0E89FA3,1,42-40579-01,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044BBD4E-A6D1-4EE4-89DA-526A74DBB28B,1,HN53HG245,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045D5486-C50A-443D-AE2C-6AF0508C3187,1,1645402,ARCOAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0482A13A-A6A9-41A2-B0AF-0E0E3FFE077D,1,151290,REZNOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04D93777-D886-4818-828F-C25551EEF286,1,2252360,CLIMATEMASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04E0B260-E580-44F9-9A3F-CDDDD790311D,1,103171001,CONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04E559E9-C31E-40F2-BF64-EE12F99008F1,1,43-040-126,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04FC505F-9114-497B-9E9D-31768DA86EC0,1,HN680139,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04FD6171-1942-4A26-AD00-59FA687A3308,1,38AK401410,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05011B00-FE7E-422F-94C2-6CFC0ED1785A,1,S1-02419371000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058ABEC9-983E-4992-9381-C0CC9F93721E,1,P-8-9268,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058F45F0-66C8-4008-A806-1DE0B2080F72,1,S1-02638066008,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05903EE6-0E22-4BF8-A837-1893F0D9A109,1,42-20616-03,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05B15E46-F53D-4593-9FC1-B19985CFA515,1,453772,EUBANKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05F84198-9EA6-47DC-9454-D62E0C2A74CE,1,63596D3,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610938E-0735-44C4-8705-6F33C2C5D7E3,1,WY30X136,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0611086C-1942-41C2-8914-2311058A8E6C,1,R034915200,CLIMATEMASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0647991F-3D03-4698-AD47-4C47AE65B9E3,1,S1-02425924000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06759020-F671-4661-9997-9E3025D546D9,1,8401-5520,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06B806F0-8F84-4977-9890-7807551F8E4D,1,T7W868708,MITSUBISHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06CF25D6-176D-4355-A64F-EBC5D1878105,1,R034915200,BOHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06EC933E-318F-4D2D-85F2-BA2D6A7320F0,1,WW30X110,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06EF9CE6-F397-4804-A4DF-19DD31FD4FDE,1,CTR01197,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06FE56F7-CC9E-40BD-BB9A-598588C7583D,1,CTR00381,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070F2820-53D9-4AB5-BB82-709206510D64,1,C6361301,AMANA,CONTACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0711786F-B16A-4A26-B42D-88CE66910D0C,1,621888,NORDYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071C7F8A-D37C-4DE8-B4AE-249FFC7D0CB5,1,1147694,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073FE147-6633-420D-8333-6BF7D0BBCC48,1,WW30X54,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07528A26-673B-4E71-984E-0C45E99847B2,1,38AK401411,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075437EF-C891-485C-AB52-97A78F31B807,1,S1-02424748000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07585C19-E66C-4A7D-BDDC-C7C871F1FFF8,1,T7WA14708,MITSUBISHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07594F2A-5C4C-4225-B546-446198034BD5,1,13B0035N02,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075EF07D-73A7-41AA-BDDC-ACFBAFF2DEBB,1,3HP,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07741F4A-8CD4-4368-84BF-DE235C419BDF,1,CTR00885,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07821A64-859C-4A61-8C87-855788792BDB,1,024-8242PL,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078E1E32-10E3-48E8-8293-13B6C781D454,1,42-22464-03,RUUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0797AF26-17B8-4D67-85E2-85DBB438342E,1,PCC01GA0380,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
