part_id,show,part_number,part_brand,subcategory,part_image,type_of_gas,stages,capacity,outlet_orientation,reducer_bushing,inlet_size,outlet_size_type,pilot_outlet_size,factory_settings,max_inlet_pressure,min_adjustable_setting,max_adjustable_setting,terminal_type,electrical_rating,side_outlet_size_type,gas_cock_dial_markings,ambient_temperature,amp_rating,capillary_length,standard_dial,remote_dial,temperature_range,height,length,width,ingress_protection,certifications,nema_rating
04809185-0A4C-4952-8F09-5A5E01B4438E,,VAL02505,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04A86C2D-ACA5-4CF2-B8DE-FCE9AD96FB0A,,52L05,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04B7C870-632C-411F-8D27-2148278EC70B,,13H06,ALLIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04C76122-740E-40AE-BFC8-8A43383E5149,,511-044-506,WEIL-MCLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04ED6707-79C0-4CCE-8488-597236F0364B,,932148,EMPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04F801AB-E8FD-4842-B498-D49682090381,,098522-04,DESA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0501E2B9-98DB-49C1-B380-7730079AFAB5,,R6101,EMPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051C3852-FF3C-4731-88B4-CAE8ED10D39A,,P-3-9984,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053246AA-1C3E-490C-9074-E851A1B69494,,S1-02531969000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054C6FBA-A322-4BA8-9F9F-3F2077D46DD1,,117265,SOLARONICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054EBACF-3A06-4739-A364-9D6615B9BA59,,201600720094,THERMAL ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0557B0A0-2AD1-4367-A506-0E14EE816985,,624583,NORDYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0560A4DD-B807-44AC-A190-BF3201D00B70,,EF33CW245,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057670E7-F79B-48C9-80B0-5578F4CEB188,,850-020,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05940294-0CAC-4FC7-ABEF-B2EE100C30B5,,97H05,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05941393-1064-4AD5-9D2B-B1B99C769EA2,,EF32CB211,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05BBA6E8-33A1-4901-9113-07C786663C41,,44673-001,ARMSTRONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05ED52FA-EA65-4DC4-A095-C0B180F55100,,1004606,SEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05F7E04B-7918-4B3F-BEB7-EDF3EF82544F,,13H41,ALLIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062A916D-6880-40B4-A4CC-BA9C9F50257E,,VAL01881,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0659693A-C084-4D4D-8CFA-663EC5B55655,,511-044-219,WEIL-MCLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065C5D85-28F0-4E34-B67C-E9CB196D520A,,60-100394-02,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065CDA79-AB79-4E7E-AFD7-F1E25B63C212,,WG19X195,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068A418F-72B9-4507-AAFC-497A02CFD81F,,VAL03619,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069A806E-6A5F-4268-8292-26DD3962B6F6,,34150B001,ARMSTRONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06A84C14-8E19-441A-BC61-CBAC90DD82C9,,S1-02511901000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06DFC782-DD90-468B-B414-DF89CB90FC85,,70680C2,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06F086BB-FA6C-4474-8331-9D4F71A26D2B,,B1282618,GOODMAN,HOT SURFACE GAS VALVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0730A912-824D-49F7-B115-7DDBEE652A87,,60-102405-02,MCQUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
