part_id,show,part_number,part_brand,subcategory,part_image,diameter,number_of_blades,pitch,bore,rotation,rpm,cfm,bhp,material,ingress_protection,certifications,nema_rating
02DF751F-573A-4B40-B00C-AA0F786A5C16,1,LA01RA225,BRYANT,,,,,,,,,,,,,,
02F437F5-7DFF-4A64-908C-E1E55C8994A6,1,5H70631C1,MODINE,,,,,,,,,,,,,,
03103592-DA37-46A1-A013-76FF5BD92047,1,70-101323-22,RUUD,,,,,,,,,,,,,,
03388774-BA2D-4260-A9C7-83146F83347E,1,5109B,BOHN,,,,,,,,,,,,,,
0355A8A6-EEDC-4213-8AE9-487B38F5C1EF,1,A271702,WESTINGHOUSE,,,,,,,,,,,,,,
035CFF8D-7283-4120-932F-1E861798FACA,1,LA01AX243,CARRIER,,,,,,,,,,,,,,
036C3B12-2669-4CD8-A493-36088511D61C,1,F0003,KOOL-AIR,,,,,,,,,,,,,,
037EBF65-9A09-448C-A89A-088965E58532,1,7174402,CHANDLER,,,,,,,,,,,,,,
03854675-7819-44FC-B57C-A04D2132E199,1,12100105000087,THERMAL ZONE,,,,,,,,,,,,,,
038BA066-31D0-4FED-86AB-3E5D872E333E,1,38QZ43120129,CARRIER,,,,,,,,,,,,,,
0395EC31-62A0-4496-99F9-24A588797391,1,1147288,HEIL,,,,,,,,,,,,,,
03981153-D3E9-402C-A706-0252FF2DFBEB,1,951-174,INDUSTRIAL COMBUSTION,,,,,,,,,,,,,,
039957F0-BEAD-4FA8-8B25-7AC9FF5083DE,1,1080778,HEIL,,,,,,,,,,,,,,
03BBCF07-18EC-4BD0-9EB4-0785B5DF581B,1,LA01EA038,CARRIER,,,,,,,,,,,,,,
03C32C5E-A12B-4439-889D-1F4E3B82A00A,1,187C376H01,WESTINGHOUSE,,,,,,,,,,,,,,
03E5EA88-0104-40EE-A281-9FA8474E8118,1,8017210,FRIGIDAIRE,,,,,,,,,,,,,,
03FAAC70-628F-44FE-ACAF-A3BC3C8C14F6,1,8047447,GIBSON,,,,,,,,,,,,,,
03FD6290-7D63-40C4-A31B-318619085770,1,0161P00055,GOODMAN,CONDENSER FAN BLADE,,,,,,,,,,,,,
040FA2FF-262A-4242-B5CD-5D35A0E38FF3,1,BLD00172,TRANE,,,,,,,,,,,,,,
042E08DE-53F4-4DFB-B587-10D598DD17A6,1,D9854402,AMANA,CONDENSER FAN BLADE,,,,,,,,,,,,,
04358EDF-5480-419E-A886-793EF808F8AF,1,LA06EA113,CARRIER,,,,,,,,,,,,,,
0440D8C1-F340-43DA-B3A2-918431521A97,1,LA01A222,CARRIER,,,,,,,,,,,,,,
044843F9-60CC-4758-90F3-D95053FEC572,1,1080794,HEIL,,,,,,,,,,,,,,
0461450B-C129-4225-A0E9-3E76917EF365,1,R634H6300,MITSUBISHI,,,,,,,,,,,,,,
0479EDA9-C3AB-42FB-AB0B-8A30BD230198,1,WJ73X10001,GE,,,,,,,,,,,,,,
048745AD-43A1-4C29-A715-6A6993653FD3,1,1070020,HEIL,,,,,,,,,,,,,,
0497459A-8C4D-4D80-87EE-12D1B22826CA,1,2292422,CLIMATEMASTER,,,,,,,,,,,,,,
04B4759A-26B8-4CC6-B831-7A5A6FB83F78,1,70-23594-01,RHEEM,,,,,,,,,,,,,,
04BABD71-86CC-4352-B68B-2AF00AB91365,1,0150M00013,GOODMAN,CONDENSER FAN BLADE,,,,,,,,,,,,,
04BDE76D-D087-4663-8A16-E30260A8A508,1,2292630,CLIMATEMASTER,,,,,,,,,,,,,,
04C01D50-FDA7-4B6C-BE4D-BCBEC9A42368,1,51302135300,HEIL,,,,,,,,,,,,,,
04C7C026-4205-40B1-B6D5-975410247483,1,R043759700,CHANDLER,,,,,,,,,,,,,,
04D6AC50-2201-47DE-9969-CA4980830A86,1,FAN01025,TRANE,,,,,,,,,,,,,,
04FD6883-CAF2-4CF8-9E6C-15A783C4FA4C,1,S1-02620891000,YORK UPG,,,,,,,,,,,,,,
050E339F-727A-46A7-B449-6083F74015F1,1,D9992801,AMANA,CONDENSER FAN BLADE,,,,,,,,,,,,,
051C3F3A-AEDC-4DF7-A978-4528C03BEF23,1,5151-158,WEATHERKING,,,,,,,,,,,,,,
0554402D-571E-4512-ACD2-97248AF4318F,1,WJ73X10011,GE,,,,,,,,,,,,,,
05628D67-2AB3-46F1-9007-4A449F362E74,1,5151-5509,WEATHERKING,,,,,,,,,,,,,,
0568E78E-7698-4E01-B454-95A2BB144BEF,1,70-21937-03,RHEEM,,,,,,,,,,,,,,
05754CD7-5C4F-46AA-9421-FCEF123F32BF,1,10312904,AMANA,CONDENSER FAN BLADE,,,,,,,,,,,,,
058D0B9F-82F2-47AB-B925-7F052274CC19,1,5900AR1167B,LUCKY GOLDSTAR,,,,,,,,,,,,,,
05950180-E272-4661-8E47-46937A90026A,1,5151-217,HEAT CONTROLLER,,,,,,,,,,,,,,
05AE4BD3-2464-41F4-8F04-E5112BBEA372,1,FAN03650,TRANE,,,,,,,,,,,,,,
05B04D30-DBCB-4980-8F8E-C5CA88B6A4CC,1,5900AR1508B,LG,,,,,,,,,,,,,,
05B3300B-BD20-4613-AEE2-2E8962B8B67F,1,38GS5A1205A,CARRIER,,,,,,,,,,,,,,
06008F3C-2EFE-459B-93A3-67194752239F,1,LA01RA348,CARRIER,,,,,,,,,,,,,,
06023BD5-4940-4CE9-A9FD-D2CEE6D53365,1,5151-5507,RHEEM,,,,,,,,,,,,,,
062D7EF6-696A-455B-BF49-5F975A57225C,1,1080614,HEIL,,,,,,,,,,,,,,
064617C7-B4DD-4E7F-A120-59084986A680,1,LA01RA301,CARRIER,,,,,,,,,,,,,,
067C7021-19D0-40FF-9ACC-8A612F49EFE6,1,28G53,LENNOX,,,,,,,,,,,,,,
067CBA45-D532-47B2-A538-85D63CF83300,1,28272,TRENTON,,,,,,,,,,,,,,
068ABC72-9943-4F49-BD91-F61EE3B24D08,1,LA680522,CARRIER,,,,,,,,,,,,,,
06A5E68D-1235-4D69-A602-C7CF144913C3,1,0150G00003S,GOODMAN,CONDENSER FAN BLADE,,,,,,,,,,,,,
06C9F554-2E3B-4E07-BBB9-5019CBC7A8C5,1,201100300145,THERMAL ZONE,,,,,,,,,,,,,,
06F7F995-C6FB-4B2C-8EDB-52277E533E29,1,10625707,GOODMAN,CONDENSER FAN BLADE,,,,,,,,,,,,,
07018B14-9EB7-485C-9BDD-157D77568457,1,30GX660017,CARRIER,,,,,,,,,,,,,,
070B939B-3546-48F9-9413-429318F6D697,1,LA01RA346,CARRIER,,,,,,,,,,,,,,
074DFC59-280D-45AB-99CE-0DF82AD6BC53,1,9366378020,FUJITSU,,,,,,,,,,,,,,
07503DFE-3E50-4E4D-AFBE-5FE7A441C7B2,1,10333413,COMFORTSTAR,,,,,,,,,,,,,,
07595191-1699-428E-9817-09CFB208C04A,1,70-102011-17,RUUD,,,,,,,,,,,,,,
0761AEFB-604C-45A2-BA74-4E9CA1693A08,1,5151828A01,TECUMSEH,,,,,,,,,,,,,,
076E2EE1-2BB2-4B4A-B5EE-F9C46D15E95F,1,5151-186,WEATHERKING,,,,,,,,,,,,,,
07861E5F-C03B-46AB-A425-9EF8FBBF494C,1,FAN00441,TRANE,,,,,,,,,,,,,,
078B75D8-5D11-4A34-9C36-99001DA1AF9A,1,5151-221,WEATHERKING,,,,,,,,,,,,,,
07B2E460-7E8A-444C-852D-24377AFCED17,1,E02927232,MITSUBISHI,,,,,,,,,,,,,,
07B38D29-D6E1-40C5-A98D-D4D17DCB5AE2,1,FAN01433,TRANE,,,,,,,,,,,,,,
07BDD152-BFAF-489C-AEA4-F06C6A82A2BA,1,FAN00423,TRANE,,,,,,,,,,,,,,
07E7FD8B-CFC5-4728-8183-9F35E56894D2,1,22901901,CLIMATEMASTER,,,,,,,,,,,,,,
07EE7F0A-3DB2-4892-A760-CFD88C63EBFE,1,1063392,HEIL,,,,,,,,,,,,,,
07F62B33-8CBD-47AB-A31D-75EDC5733B5C,1,WJ73X165,GE,,,,,,,,,,,,,,
07FC610C-E681-4540-83F6-52CD138CC51E,1,1172712,HEIL,,,,,,,,,,,,,,
07FE7FD1-ECBD-4733-A5B4-178020B6DD17,1,FAN02217,TRANE,,,,,,,,,,,,,,
0805D5A9-6C8B-41E0-9295-D787A12BFD84,1,1113-05660-002,CROSLEY,,,,,,,,,,,,,,
