part_id,show,part_number,part_brand,subcategory,part_image,application,gas_type,voltage,terminal_TYPE,mounting,tip_style,ceramic_block,pilot_btu,orifice_diameter,pilot_tube_length,lead_length,sensor_type,steady_current,temp_rating,time_to_temp,amperage,cold_resistance,max_current,compression_fitting_diameter,probe_length,rod_angle,length,height,width,ingress_protection,certifications,nema_rating
06F83085-A9DE-47DB-BDCF-26B32CC09C4B,,1380667,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07592B31-B037-4D54-AC7B-DE80BE7F6089,,PLT1043,LOCHINVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07A54B3B-3363-40FF-80A5-4921E4E07725,,18081,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07DED603-49C5-431A-962B-E0E6B2178FEB,,104165000,MILLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07EFF8CB-7E1B-4C9D-AD33-59230D4273B0,,62-23556-09,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0806188E-2409-476C-8BAD-BEEB6F3D545B,,S1-02633069000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08063B84-0800-499A-91CC-A8F15C1AB89C,,P322399,WILLIAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08105648-3A31-4689-8134-80ABA92E0263,,2090-12,HEAT & GLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08326D20-0057-43A4-9736-E4F913E6A6EA,,231844,SUBURBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08BB86F3-3BE5-4DEE-ADC7-D68047DA04AC,,12L43,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08E2BC61-1DAC-426E-813D-96D835060887,,18G20,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
093C4690-01A2-4BCD-A649-87FE78BA1902,,610487,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094237C1-D551-4182-BC7B-EC03D69F8A72,,031059-03,DESA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0965C13D-1FDB-4760-B493-14A217D30EBC,,3H32137C3,MODINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09997CBB-50F2-4FCE-97D9-B095D8DF768E,,21-1267,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09F7E7FA-133E-4567-92E3-A0FEB6ACBB76,,99161,CARLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A1AE34F-B497-4263-AA65-2820C430C4D0,,WG35X141,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A2D0AB5-DA5A-417E-8A01-CEBB6361410D,,75F26,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A38DBDF-89FC-4B57-B5DD-25BDCABF6BD5,,WW37X18,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A3B077E-AF3C-4A0F-8EEA-A75B7CE1AE8A,,58HH680016,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A4696D3-434B-4B9D-BA68-502A3814EC01,,WW37X24,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A4F9FD3-52CE-453F-9322-9959B49B6725,,49116,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A598E89-28FF-46B9-9180-7D856895E9F3,,2191305U,BECKETT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A8923D8-486A-4606-B047-14D71C692843,,M-7514,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A9A344E-6E03-4E0A-916F-A0589440A93E,,C304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ACA3F7B-6410-417D-8291-01826E23A319,,S1-7970-377P,COLEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B004F2F-8837-4850-BA97-F3D1642B3B72,,7310560115202,DESA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B06F97A-6698-400C-B0F1-3C90DED4BE08,,146-62-092,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B1D9D1A-7F59-40A2-9BE2-55C199E300C6,,68485C05,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B4A70E6-01DE-4B52-91C0-D316DAE35512,,M-7512,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B73A751-1365-473D-8C71-1D7F90098EA5,,LH33WZ006,BRYANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B8B9BCB-BCA9-4C59-8B5F-E76E409759E7,,80D0006,MAJESTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BCC4B06-BC47-4DF5-9388-73F00C41CAC0,,5H72222D105,MODINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0CC4D93B-EE40-4FDF-967C-A52F727A34EB,,921000-3500,GORDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0CCAB8E6-6621-4CCF-A77B-8E0BD7B66258,,062437,SUBURBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0CCC6318-5CF0-4DF2-B2C7-85EF03BCF677,,45139-001,ARMSTRONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0D0258B5-70CF-4A3A-8149-BB438E123B9E,,S1-1001344,COLEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0D21DF0A-A9C9-4C4F-BABB-F7DEDCB5BB0C,,L98071-07,DESA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0D75DEFF-6A08-43D6-AF56-3B5A4C55A5DC,,M-7581,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0DF94A3B-14B0-453C-A169-0C5AC4A4053B,,7005-5545,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0E1BEC34-3303-4D2A-9BF9-20F7889E2531,,LH660005,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0E6A0E28-1224-45F8-8169-0C9A7592916A,,6604390,NORDYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0E83A7AB-9B14-4DF7-B09E-64345F539DCD,,120630-01,DESA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ED92C1B-5EFB-4A35-B164-38F02D91FBA3,,WW37X11,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F25ECAF-568B-40D6-872F-A1CA80762BAC,,P229100,WILLIAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F4E8B3B-17BD-4CBD-85E4-2E4715144510,,R0208474,AMANA,STANDING PILOT IGNIGHTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
