part_id,show,part_number,part_brand,subcategory,part_image,fused,ingress_protection,certifications,nema_rating
0170FC87-A8AD-4972-83EA-2AD841F54EFE,,67203701,FRIEDRICH,,,,,,
0173B955-E24A-4AD0-B3CE-BF7B238E12F8,,S1-03101954000,YORK UPG,,,,,,
0177ADF4-6FC9-45F1-BBD8-229EE6A479B7,,HK50AL002,CARRIER,,,,,,
0178D6F6-97AE-4B27-8A52-3DCFE71AF415,,CNT00511,TRANE,,,,,,
017B5817-0146-4741-A0F3-7365C95D0DB8,,74163-,CARRIER,,,,,,
017D7DB0-2665-4144-BE3C-3D3BB34E8F90,,S1-03103492000,YORK UPG,,,,,,
01845AF9-4CF6-4FE2-BF88-42CD02E1F6CC,,BLD01099,TRANE,,,,,,
01869EF7-7A3D-4818-81AB-C2BDC839B1B4,,T6-21,LENNOX,,,,,,
018E9D6E-66B8-4E3D-BD28-071B882AE992,,HK61EA010,CARRIER,,,,,,
019206D4-3E41-48DA-B319-8869FBB34F41,,LC2000-100,BARD,,,,,,
0196AE3E-9E79-45F3-A8B6-83338665962D,,42QH8A585001A,CARRIER,,,,,,
0198CCE8-A948-4B50-B387-DF10A99A4B1F,,R0208479,AMANA,IGNITION CONTROL BOARD,,,,,
019ADCEA-D066-4C6B-8A32-F16BA205FA70,,30562028,THERMAL ZONE,,,,,,
019B6A13-EB77-45A9-8976-32573E6A03F3,,00EFN500145583A,CARRIER,,,,,,
019CD62F-2BFA-4343-B226-9587A737CEDD,,6871A20479B,LG,,,,,,
019E2B50-E823-46A2-8F2E-B9F891613041,,AS-52442-45,RHEEM,,,,,,
01A5B868-0409-470E-BC62-C26E1E607801,,S1-2569H3061,COLEMAN,,,,,,
01B361F2-2DDF-4E85-8B15-9F413E9D2EF6,,0130A00130,GOODMAN,,,,,,
01B64686-464C-403B-9273-753C1726EAE9,,38AP404631,CARRIER,,,,,,
01BAA3DA-3737-4FE8-BC03-8A46A6BFFADC,,0600400452,CARRIER,,,,,,
01C50C91-E10E-43B9-A51A-403C782E361E,,32GB500392EE,CARRIER,,,,,,
01CF0F5B-BDFF-4FE3-B8E7-127744F4DF19,,00EFN500127200A,CARRIER,,,,,,
01D0B5D6-6F16-4B6A-A32C-2B73F71652DE,,38AP400328,CARRIER,,,,,,
01D55C24-F159-4272-BD07-8B8AF48D8BB2,,BRD02998,TRANE,,,,,,
01D65FD9-2722-4B6B-9907-511CAD837703,,30138000652,CARRIER,,,,,,
01D6648D-F316-48B4-8AED-69AD03A45212,,600400616,CARRIER,,,,,,
01DB4D2F-6DB8-488D-B06F-7CA8622A031F,,CPN00759,TRANE,,,,,,
01DCBF69-5490-4D17-9853-524C334CC3B1,,30565133,GREE,,,,,,
01DD9A30-87E8-4314-93CE-8497F7F986B2,,AE-58385-08,RHEEM,,,,,,
